name,kegg,biocyc,smdb,other
cysteine biosynthesis/homocysteine degradation,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=HOMOCYSDEGR-PWY"" target='_blank'>BioCyc Link</a>",,
"d-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6364&detail-level=%25203"" target='_blank'>BioCyc Link</a>",,
"d-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis",,"<a href=""https://biocyc.org/META/new-image?object=PWY-6366"" target='_blank'>BioCyc Link</a>",,
"d-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6351"" target='_blank'>BioCyc Link</a>",,
"d-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6363"" target='_blank'>BioCyc Link</a>",,
"d-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis",,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=NIL&object=PWY-6365&redirect=T"" target='_blank'>Other Link</a>"
d-<i>myo</i>-inositol-5-phosphate metabolism,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6367&orgids=(AAEO224324%20ECOLI)"" target='_blank'>BioCyc Link</a>",,
d-alanine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00473"" target=_new>KEGG</a>",,,
d-arginine and d-ornithine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00472"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00020"""" target=_new>SMP</a>",
d-glucuronate degradation i,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5525"" target='_blank'>BioCyc Link</a>",,
d-glutamine and d-glutamate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00471"" target=_new>KEGG</a>",,,
d-mannose degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=MANNCAT-PWY"" target='_blank'>BioCyc Link</a>",,
d4&e4-neuroprostanes formation,,,,"<a href=""http://metafishnet.appspot.com/pathway/125"" target='_blank'>Other Link</a>"
de novo biosynthesis of pyrimidine deoxyribonucleotides,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7184"" target='_blank'>BioCyc Link</a>",,
de novo biosynthesis of pyrimidine ribonucleotides,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-162"" target='_blank'>BioCyc Link</a>",,
de novo fatty acid biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/126"" target='_blank'>Other Link</a>"
degradation of purine ribonucleosides,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1296"" target='_blank'>BioCyc Link</a>",,
degradation of pyrimidine deoxyribonucleosides,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7181"" target='_blank'>BioCyc Link</a>",,
degradation of pyrimidine ribonucleosides,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1295"" target='_blank'>BioCyc Link</a>",,
"dehydro-d-arabinono-1,4-lactone biosynthesis",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY3O-6"" target='_blank'>BioCyc Link</a>",,
dermatan sulfate biosynthesis (late stages),,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6571"" target='_blank'>BioCyc Link</a>",,
dermatan sulfate degradation (metazoa),,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6576&redirect=T"" target='_blank'>BioCyc Link</a>",,
di-unsaturated fatty acid beta-oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/127"" target='_blank'>Other Link</a>"
dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/128"" target='_blank'>Other Link</a>"
dioxin degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00621"" target=_new>KEGG</a>",,,
diphthamide biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7546"" target='_blank'>BioCyc Link</a>",,
diterpenoid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00904"" target=_new>KEGG</a>",,,
dna replication,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03030"" target=_new>KEGG</a>",,,
dolichol and dolichyl phosphate biosynthesis,,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY-6129"" target='_blank'>BioCyc Link</a>",,
dolichyl glucosyl phosphate biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=PWY3O-1565&detail-level=2"" target='_blank'>Other Link</a>"
dolichyl phosphate d-mannose biosynthesis,,"<a href=""https://biocyc.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-123"" target='_blank'>BioCyc Link</a>",,
dolichyl-diphosphooligosaccharide biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS"" target='_blank'>BioCyc Link</a>",,
dopamine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY6666-2"" target='_blank'>BioCyc Link</a>",,
dorso-ventral axis formation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04320"" target=_new>KEGG</a>",,,
drug metabolism - cytochrome p450,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00982"" target=_new>KEGG</a>",,,
drug metabolism - other enzymes,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00983"" target=_new>KEGG</a>",,,
dtmp <i>de novo</i> biosynthesis,,,,
dtmp <i>de novo</i> biosynthesis (mitochondrial),,,,
dynorphin metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/129"" target='_blank'>Other Link</a>"
ecm-receptor interaction,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04512"" target=_new>KEGG</a>",,,
eicosapentaenoate biosynthesis ii (metazoa),,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-7049"" target='_blank'>Other Link</a>"
electron transport chain,,,,"<a href=""http://metafishnet.appspot.com/pathway/130"" target='_blank'>Other Link</a>"
endocytosis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04144"" target=_new>KEGG</a>",,,
epoxysqualene biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5670"" target='_blank'>BioCyc Link</a>",,
ergosterol biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=ERGOSTEROL-SYN-PWY"" target='_blank'>Other Link</a>"
estrogen biosynthesis,,,,
ethanol degradation i,,"<a href=""https://biocyc.org/META/new-image?object=ETOH-ACETYLCOA-ANA-PWY"" target='_blank'>BioCyc Link</a>",,
ethanol degradation ii,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-21"" target='_blank'>Other Link</a>"
ethanol degradation iv,,"<a href=""https://biocyc.org/META/new-image?object=PWY66-162"" target='_blank'>BioCyc Link</a>",,
ether lipid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00565"" target=_new>KEGG</a>",,,
ethylbenzene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00642"" target=_new>KEGG</a>",,,
ethylene biosynthesis,,,,
eumelanin biosynthesis,,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6498&detail-level=1"" target='_blank'>Other Link</a>"
fanconi anemia pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03460"" target=_new>KEGG</a>",,,
fatty acid &alpha;-oxidation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-2501"" target='_blank'>BioCyc Link</a>",,
fatty acid &alpha;-oxidation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-387"" target='_blank'>BioCyc Link</a>",,
fatty acid &alpha;-oxidation iii,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY66-388"" target='_blank'>Other Link</a>"
fatty acid &beta;-oxidation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=NIL&object=FAO-PWY"" target='_blank'>BioCyc Link</a>",,
fatty acid &beta;-oxidation ii (core pathway),,"<a href=""https://biocyc.org/PLASMO/NEW-IMAGE?type=PATHWAY&object=PWY-5136"" target='_blank'>BioCyc Link</a>",,
"fatty acid &beta;-oxidation iii (unsaturated, odd number)",,"<a href=""https://biocyc.org/META/new-image?object=PWY-5137"" target='_blank'>BioCyc Link</a>",,
fatty acid activation,,,,"<a href=""http://metafishnet.appspot.com/pathway/132"" target='_blank'>Other Link</a>"
fatty acid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00061"" target=_new>KEGG</a>",,,
fatty acid biosynthesis (concise),,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5970"" target='_blank'>Other Link</a>"
fatty acid biosynthesis initiation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-4381"" target='_blank'>BioCyc Link</a>",,
fatty acid biosynthesis initiation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5966"" target='_blank'>BioCyc Link</a>",,
fatty acid degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00071"" target=_new>KEGG</a>",,,
fatty acid elongation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00062"" target=_new>KEGG</a>",,,
fatty acid elongation -- saturated,,"<a href=""https://biocyc.org/META/new-image?object=FASYN-ELONG-PWY"" target='_blank'>BioCyc Link</a>",,
fatty acid elongation in mitochondria,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00062"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00021"""" target=_new>SMP</a>",
fatty acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?01212"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00023"""" target=_new>SMP</a>",
fatty acid oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/133"" target='_blank'>Other Link</a>"
fatty acid oxidation (non-cyclic),,,,
fatty acid oxidation- peroxisome,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5136"" target='_blank'>BioCyc Link</a>",,"<a href=""http://metafishnet.appspot.com/pathway/134"" target='_blank'>Other Link</a>"
"fatty acid oxidation, peroxisome",,"<a href=""https://biocyc.org/META/new-image?object=PWY-5136"" target='_blank'>BioCyc Link</a>",,"<a href=""http://metafishnet.appspot.com/pathway/134"" target='_blank'>Other Link</a>"
fatty acids biosynthesis (yeast),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5970"" target='_blank'>Other Link</a>"
flavin biosynthesis iii (fungi),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6168&detail-level=2"" target='_blank'>BioCyc Link</a>",,
flavin biosynthesis iv (mammalian),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-366"" target='_blank'>BioCyc Link</a>",,
flavone and flavonol biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00944"" target=_new>KEGG</a>",,,
flavonoid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00941"" target=_new>KEGG</a>",,,
fluorene degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=FLUORENE-DEG-9-ONE-PWY"" target='_blank'>BioCyc Link</a>",,
fluorobenzoate degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00364"" target=_new>KEGG</a>",,,
folate biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00790"" target=_new>KEGG</a>",,,
folate interconversions,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-697"" target='_blank'>Other Link</a>"
folate polyglutamylation,,"<a href=""https://biocyc.org/META/new-image?object=PWY-2161"" target='_blank'>BioCyc Link</a>",,
folate polyglutamylation i,,,,"<a href=""https://pmn.plantcyc.org/PLANT/NEW-IMAGE?type=PATHWAY&object=PWY-2161"" target='_blank'>Other Link</a>"
folate polyglutamylation ii,,,,"<a href=""https://pmn.plantcyc.org/PLANT/NEW-IMAGE?type=PATHWAY&object=PWY-2161B-PMN"" target='_blank'>Other Link</a>"
folate transformations,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-2201"" target='_blank'>Other Link</a>"
folate transformations i,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-2201"" target='_blank'>Other Link</a>"
formaldehyde oxidation ii (glutathione-dependent),,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-1801"" target='_blank'>Other Link</a>"
formaldehyde oxidation v (tetrahydrofolate pathway),,"<a href=""https://biocyc.org/10403S_RAST/NEW-IMAGE?type=PATHWAY&object=PWY-1722"" target='_blank'>BioCyc Link</a>",,
formylthf biosynthesis i,,"<a href=""https://biocyc.org/10403S_RAST/NEW-IMAGE?type=PATHWAY&object=1CMET2-PWY"" target='_blank'>BioCyc Link</a>",,
foxo signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04068"" target=_new>KEGG</a>",,,
fructose 1-phosphate degradation,,,,
fructose and mannose metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00051"" target=_new>KEGG</a>",,,
fructose degradation,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=PWY3O-0&detail-level=2"" target='_blank'>Other Link</a>"
galactose degradation i (leloir pathway),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6317"" target='_blank'>BioCyc Link</a>",,
galactose metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00052"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00024"""" target=_new>SMP</a>",
gamma-hexachlorocyclohexane degradation,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=GAMMAHEXCHLORDEG-PWY"" target='_blank'>BioCyc Link</a>",,
gdp-d-rhamnose biosynthesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=GDPRHAMSYN-PWY"" target='_blank'>Other Link</a>"
gdp-glucose biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5661"" target='_blank'>BioCyc Link</a>",,
gdp-l-fucose biosynthesis i (from gdp-d-mannose),,"<a href=""https://biocyc.org/META/new-image?object=PWY-66"" target='_blank'>BioCyc Link</a>",,
gdp-l-fucose biosynthesis ii (from l-fucose),,"<a href=""https://biocyc.org/META/new-image?object=PWY-6"" target='_blank'>BioCyc Link</a>",,
gdp-mannose biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5659"" target='_blank'>BioCyc Link</a>",,
gdp-mannose biosynthesis ii,,"<a href=""https://biocyc.org/VCHO/NEW-IMAGE?type=PATHWAY&object=PWY-5659"" target='_blank'>BioCyc Link</a>",,
gdp-mannose metabolism,,,,"<a href=""http://www.pseudomonas.com:1555/PSEUDO/NEW-IMAGE?object=MANGDPMET-PWY"" target='_blank'>Other Link</a>"
geraniol degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00281"" target=_new>KEGG</a>",,,
geranylgeranyldiphosphate biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-5120"" target='_blank'>BioCyc Link</a>",,
glucocorticoid biosynthesis,,,,
gluconeogenesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00010"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00027"""" target=_new>SMP</a>","<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=GLUCONEO-PWY"" target='_blank'>Other Link</a>"
gluconeogenesis i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUCONEO-PWY&detail-level=2"" target='_blank'>BioCyc Link</a>",,
glucose and glucose-1-phosphate degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUCOSE1PMETAB-PWY"" target='_blank'>BioCyc Link</a>",,
glucose-6-phosphate biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=PWY3O-3827&detail-level=2"" target='_blank'>Other Link</a>"
glucosinolate biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00966"" target=_new>KEGG</a>",,,
glutamate biosynthesis from ammonia,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLUNH3-PWY"" target='_blank'>Other Link</a>"
glutamate biosynthesis from glutamine,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=GLUGLNSYN-PWY&detail-level=2"" target='_blank'>Other Link</a>"
glutamate biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=GLUTSYN-PWY"" target='_blank'>BioCyc Link</a>",,
glutamate biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUTAMATE-SYN2-PWY"" target='_blank'>BioCyc Link</a>",,
glutamate biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUTSYNIII-PWY"" target='_blank'>BioCyc Link</a>",,
glutamate degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUTAMATE-DEG1-PWY"" target='_blank'>BioCyc Link</a>",,
glutamate degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLUTDEG-PWY"" target='_blank'>BioCyc Link</a>",,
glutamate degradation iii (via 4-aminobutyrate),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1305"" target='_blank'>BioCyc Link</a>",,
glutamate degradation x,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5766"" target='_blank'>BioCyc Link</a>",,
glutamate dependent acid resistance,,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1305&detail-level=3%27A"" target='_blank'>Other Link</a>"
glutamate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00250"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00028"""" target=_new>SMP</a>","<a href=""http://metafishnet.appspot.com/pathway/138"" target='_blank'>Other Link</a>"
glutamate removal from folates,,"<a href=""https://biocyc.org/META/new-image?object=PWY-2161B"" target='_blank'>BioCyc Link</a>",,
glutamine biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=GLNSYN-PWY"" target='_blank'>BioCyc Link</a>",,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=GLNSYN-PWY"" target='_blank'>Other Link</a>"
glutamine biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=GLNSYN-PWY"" target='_blank'>BioCyc Link</a>",,
glutamine degradation i,,"<a href=""https://biocyc.org/META/new-image?object=GLUTAMINDEG-PWY"" target='_blank'>BioCyc Link</a>",,
glutamine degradation ii,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINEFUM-PWY"" target='_blank'>BioCyc Link</a>",,
glutaminyl-trna<sup>gln</sup> biosynthesis via transamidation,,,,
glutaryl-coa degradation,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5177&detail-level=2&ENZORG=ORG-5962"" target='_blank'>BioCyc Link</a>",,
glutathione biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY"" target='_blank'>BioCyc Link</a>",,
glutathione degradation,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWYQT-4432"" target='_blank'>Other Link</a>"
glutathione metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00480"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00029"""" target=_new>SMP</a>","<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4081"" target='_blank'>Other Link</a>"
glutathione redox reactions i,,,,"<a href=""https://biocyc.org/META/new-image?object=GLUT-REDOX-PWY"" target='_blank'>Other Link</a>"
glutathione redox reactions ii,,,,
glutathione-glutaredoxin system,,,,"<a href=""https://pathway.yeastgenome.org/server.html/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-592"" target='_blank'>Other Link</a>"
glutathione-mediated detoxification,,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4061"" target='_blank'>Other Link</a>"
glutathione-mediated detoxification i,,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4061"" target='_blank'>Other Link</a>"
glycerol biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-48"" target='_blank'>Other Link</a>"
glycerol degradation i,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-4261"" target='_blank'>Other Link</a>"
glycerol-3-phosphate shuttle,,"<a href=""https://biocyc.org/META/new-image?object=PWY-6118"" target='_blank'>BioCyc Link</a>",,
glycerolipid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00561"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00031"""" target=_new>SMP</a>",
glycerophospholipid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00564"" target=_new>KEGG</a>",,,
glycine betaine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-3661"" target='_blank'>BioCyc Link</a>",,
glycine biosynthesis from glyoxylate,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=GLYSYN-ALA-PWY"" target='_blank'>Other Link</a>"
glycine biosynthesis from serine,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYSYN-PWY"" target='_blank'>Other Link</a>"
glycine biosynthesis from threonine,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=GLYSYN-THR-PWY&redirect=T"" target='_blank'>Other Link</a>"
glycine biosynthesis i,,"<a href=""https://biocyc.org/META/new-image?object=GLYSYN-PWY"" target='_blank'>BioCyc Link</a>",,
glycine biosynthesis ii,,"<a href=""https://biocyc.org/META/new-image?object=GLYCINE-SYN2-PWY"" target='_blank'>BioCyc Link</a>",,
glycine biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLYSYN-ALA-PWY"" target='_blank'>BioCyc Link</a>",,
glycine biosynthesis iv,,"<a href=""https://biocyc.org/META/new-image?object=GLYSYN-THR-PWY"" target='_blank'>BioCyc Link</a>",,
glycine cleavage,,"<a href=""https://biocyc.org/META/new-image?object=GLYCLEAV-PWY"" target='_blank'>BioCyc Link</a>",,
glycine cleavage complex,,"<a href=""https://biocyc.org/META/new-image?object=CPLX-7302"" target='_blank'>BioCyc Link</a>",,
glycine degradation (creatine biosynthesis),,"<a href=""https://biocyc.org/META/new-image?object=GLYCGREAT-PWY"" target='_blank'>BioCyc Link</a>",,
glycine- serine- alanine and threonine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00260"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/142"" target='_blank'>Other Link</a>"
"glycine, serine and threonine metabolism","<a href=""http://www.genome.jp/kegg-bin/show_pathway?00260"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00032"""" target=_new>SMP</a>",
"glycine, serine, alanine and threonine metabolism",,,,"<a href=""http://metafishnet.appspot.com/pathway/142"" target='_blank'>Other Link</a>"
glycoaminoglycan-protein linkage region biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6557"" target='_blank'>BioCyc Link</a>",,
glycogen biosynthesis,,,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLYCOGENSYNTH-PWY"" target='_blank'>Other Link</a>"
glycogen biosynthesis ii (from udp-d-glucose),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5067"" target='_blank'>BioCyc Link</a>",,
glycogen degradation,,"<a href=""https://biocyc.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5941"" target='_blank'>BioCyc Link</a>",,"<a href=""http://rgd.mcw.edu/rgdweb/pathway/pathwayRecord.html?acc_id=PW:0000534"" target='_blank'>Other Link</a>"
glycogen degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=GLYCOCAT-PWY"" target='_blank'>BioCyc Link</a>",,
glycogen degradation ii,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?type=NIL&object=PWY-5941&redirect=T"" target='_blank'>Other Link</a>"
glycolysis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00010"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00034"""" target=_new>SMP</a>","<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=GLYCOLYSIS"" target='_blank'>Other Link</a>"
glycolysis and gluconeogenesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00010"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/143"" target='_blank'>Other Link</a>"
glycolysis i,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00010"" target=_new>KEGG</a>",,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=GLYCOLYSIS"" target='_blank'>Other Link</a>"
glycolysis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5484"" target='_blank'>BioCyc Link</a>",,
glycolysis iii (glucokinase),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ANAGLYCOLYSIS-PWY"" target='_blank'>BioCyc Link</a>",,
glycolysis iii (thermotoga),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=ANAGLYCOLYSIS-PWY"" target='_blank'>BioCyc Link</a>",,
glycolysis or gluconeogenesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00010"" target=_new>KEGG</a>",,,
glycosaminoglycan biosynthesis - chondroitin sulfate,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00532"" target=_new>KEGG</a>",,,
glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00532"" target=_new>KEGG</a>",,,
glycosaminoglycan biosynthesis - heparan sulfate,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00534"" target=_new>KEGG</a>",,,
