V1,V2,V3
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],Tetrahydrobiopterin; Adenosine monophosphate; Ammonia; Argininosuccinic acid; Creatine; Glycine; Guanidoacetic acid; Fumaric acid; L-Glutamic acid; L-Proline; L-Aspartic acid; Oxoglutaric acid; Ornithine; NADP; NADPH; Oxalacetic acid; Pyrophosphate; Succinic acid; Urea; L-Arginine; Adenosine triphosphate; NAD; Citrulline; S-Adenosylhomocysteine; Carbamoyl phosphate; S-Adenosylmethionine; FAD; 1-Pyrroline-5-carboxylic acid; Manganese; ADP; Pyrroline hydroxycarboxylic acid; Oxygen; Phosphate; NADH; Pyridoxal 5'-phosphate; Phosphocreatine; Flavin Mononucleotide; Carbon dioxide; 4-Hydroxy-2-oxoglutaric acid; L-Glutamic gamma-semialdehyde; Water; Phosphoric acid; 1-Pyrroline-4-hydroxy-2-carboxylate; 4-Hydroxy-L-glutamic acid; Hydrogen peroxide; Heme; Nitric oxide; D-Proline; N-(o)-Hydroxyarginine; 4-Hydroxy-L-proline; L-4-Hydroxyglutamate semialdehyde; 1-Pyrroline-2-carboxylic acid; Hydrogen Ion,http://www.smpdb.ca/view/SMP00506
Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency,"Tetrahydrobiopterin; Dihydrobiopterin; Formic acid; NADP; NADPH; Sepiapterin; Neopterin; NAD; Dihydroneopterin triphosphate; Dyspropterin; Guanosine triphosphate; NADH; 6-Lactoyltetrahydropterin; Water; 7,8-Dihydroneopterin; 2,5-Diaminopyrimidine nucleoside triphosphate ; Formamidopyrimidine nucleoside triphosphate; 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine; PPPi; 1-hydroxy-2-Oxopropyl tetrahydropterin; Zinc",http://www.smpdb.ca/view/SMP00487
Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps),"Tetrahydrobiopterin; Dihydrobiopterin; Formic acid; NADP; NADPH; Sepiapterin; Neopterin; NAD; Dihydroneopterin triphosphate; Dyspropterin; Guanosine triphosphate; NADH; 6-Lactoyltetrahydropterin; Water; 7,8-Dihydroneopterin; 2,5-Diaminopyrimidine nucleoside triphosphate ; Formamidopyrimidine nucleoside triphosphate; 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine; PPPi; 1-hydroxy-2-Oxopropyl tetrahydropterin; Zinc",http://www.smpdb.ca/view/SMP00488
Hyperphenylalaninemia due to dhpr-deficiency,"Tetrahydrobiopterin; Dihydrobiopterin; Formic acid; NADP; NADPH; Sepiapterin; Neopterin; NAD; Dihydroneopterin triphosphate; Dyspropterin; Guanosine triphosphate; NADH; 6-Lactoyltetrahydropterin; Water; 7,8-Dihydroneopterin; 2,5-Diaminopyrimidine nucleoside triphosphate ; Formamidopyrimidine nucleoside triphosphate; 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine; PPPi; 1-hydroxy-2-Oxopropyl tetrahydropterin; Zinc",http://www.smpdb.ca/view/SMP00489
Hypophosphatasia,"4-Pyridoxic acid; Ammonia; Pyridoxine; Magnesium; FAD; Pyridoxine 5'-phosphate; Oxygen; Pyridoxamine; Pyridoxal 5'-phosphate; Flavin Mononucleotide; Pyridoxal; Pyridoxamine 5'-phosphate; Water; Phosphoric acid; Molybdopterin; Hydrogen peroxide; Glycolaldehyde; 2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate; 3-Hydroxy-2-methylpyridine-4,5-dicarboxylate; Zinc",http://www.smpdb.ca/view/SMP00503
Ibandronate Action Pathway,"7-Dehydrocholesterol; Cholesterol; Formic acid; NADP; Palmitic acid; NADPH; Mevalonic acid; Pyrophosphate; Squalene; Adenosine triphosphate; Magnesium; Vitamin D3; Farnesyl pyrophosphate; 4,4-Dimethylcholesta-8,14,24-trienol; (S)-5-Diphosphomevalonic acid; Dimethylallylpyrophosphate; Lathosterol; (S)-2,3-Epoxysqualene; Acetyl-CoA; 4a-Methylzymosterol; FAD; Lanosterin; Geranyl-PP; 4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol; ADP; Mevalonic acid-5P; Isopentenyl pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; Carbon dioxide; 8-Dehydrocholesterol; Water; Desmosterol; Heme; 7-Dehydrodesmosterol; Zymosterol intermediate 2; 3-Keto-4-methylzymosterol; 24,25-Dihydrolanosterol; 4,4-Dimethyl-5a-cholesta-8-en-3b-ol; 5a-Cholest-8-en-3b-ol; 5a-Cholesta-7,24-dien-3b-ol; 4a-Methylzymosterol-4-carboxylic acid; CE(18:0); Ibandronate; Iron",http://www.smpdb.ca/view/SMP00079
Ibuprofen Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Uridine 5'-diphosphate; Calcium; Magnesium; Uridine diphosphate glucuronic acid; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Ibuprofen; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Hydrogen peroxide; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Hydrogen Ion; Prostaglandin-c2; Arachidonate; Carboxy-ibuprofen; 1-Hydroxyibuprofen; 2-Hydroxyibuprofen; 3-Hydroxyibuprofen; prostaglandin-a2",http://www.smpdb.ca/view/SMP00086
Ibuprofen Metabolism Pathway,NADP; NADPH; Uridine 5'-diphosphate; Uridine diphosphate glucuronic acid; Oxygen; Ibuprofen; Water; Hydrogen peroxide; Heme; 1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid; Hydrogen Ion; Carboxy-ibuprofen; 1-Hydroxyibuprofen; 2-Hydroxyibuprofen; 3-Hydroxyibuprofen,http://www.smpdb.ca/view/SMP00590
Ibutilide Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Ibutilide",http://www.smpdb.ca/view/SMP00332
Ifosfamide Action Pathway,NADP; NADPH; Chloride ion; NAD; Oxygen; NADH; Water; Hydrogen peroxide; Heme; 3-Dechloroethylifosfamide; 2-Dechloroethylifosfamide; Chloroacetaldehyde; 4-Hydroxyifosfamide; Ifosfamide; Acrylic acid; Acrolein; Hydrogen Ion; Aldoifosfamide; 4-Ketoifosfamide; Isophosphamide mustard; Carboxyifosfamide; Alcoifosfamide; Dechloroethyl cyclophosphamide,http://www.smpdb.ca/view/SMP00448
Ifosfamide Metabolism Pathway,NADP; NADPH; Chloride ion; NAD; Oxygen; NADH; Water; Hydrogen peroxide; Heme; 3-Dechloroethylifosfamide; 2-Dechloroethylifosfamide; Chloroacetaldehyde; 4-Hydroxyifosfamide; Ifosfamide; Acrylic acid; Acrolein; Hydrogen Ion; Aldoifosfamide; 4-Ketoifosfamide; Isophosphamide mustard; Carboxyifosfamide; Alcoifosfamide; Dechloroethyl cyclophosphamide,http://www.smpdb.ca/view/SMP00605
Imatinib Inhibition of BCR-ABL,Imatinib,http://www.smpdb.ca/view/SMP31694
Iminoglycinuria,Aldosterone; Urea; Chloride ion; L-Cysteine; Potassium; Sodium; Hydrogen carbonate; Water,http://www.smpdb.ca/view/SMP00193
Imipramine Action Pathway,Dopamine; Norepinephrine; NADP; NADPH; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; NAD; ADP; Oxygen; Formaldehyde; Phosphate; NADH; Imipramine; Water; Heme; Desipramine; Hydrogen Ion; 2-Hydroxy-imipramine glucuronide; 2-hydroxyimipramine,http://www.smpdb.ca/view/SMP00422
Imipramine Metabolism Pathway,NADP; NADPH; NAD; Oxygen; Formaldehyde; NADH; Imipramine; Water; Heme; Desipramine; Hydrogen Ion; 2-Hydroxy-imipramine glucuronide; 2-hydroxyimipramine,http://www.smpdb.ca/view/SMP00625
Indapamide Action Pathway,Aldosterone; Urea; Chloride ion; L-Cysteine; Potassium; Sodium; Hydrogen carbonate; Water; Indapamide,http://www.smpdb.ca/view/SMP00110
Indomethacin Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Indomethacin; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00104
Irbesartan Action Pathway,Aldosterone; Chloride ion; Angiotensin II; Zinc (II) ion; Vasopressin; Irbesartan; Angiotensin I,http://www.smpdb.ca/view/SMP00161
Irinotecan Action Pathway,Uridine 5'-diphosphate; Adenosine triphosphate; Uridine diphosphate glucuronic acid; ADP; Phosphate; Water; Heme; Irinotecan; NPC; SN-38; SN38 glucuronide; APC,http://www.smpdb.ca/view/SMP00433
Irinotecan Metabolism Pathway,Uridine 5'-diphosphate; Adenosine triphosphate; Uridine diphosphate glucuronic acid; ADP; Phosphate; Water; Heme; Irinotecan; NPC; SN-38; SN38 glucuronide; APC,http://www.smpdb.ca/view/SMP00600
Isobutyryl-coa dehydrogenase deficiency,Alpha-ketoisovaleric acid; (S)-3-Hydroxyisobutyric acid; Biotin; Acetoacetic acid; L-Glutamic acid; L-Isoleucine; Methylmalonic acid; Oxoglutaric acid; Succinic acid; 3-Methyl-2-oxovaleric acid; Adenosine triphosphate; Hydrogen carbonate; L-Leucine; Ketoleucine; L-Valine; NAD; Lipoamide; Dihydrolipoamide; Methacrylyl-CoA; Succinyl-CoA; 2-Methylbutyryl-CoA; (S)-3-Hydroxyisobutyryl-CoA; 3-Methylglutaconyl-CoA; Isovaleryl-CoA; 2-Methylacetoacetyl-CoA; Acetyl-CoA; Isobutyryl-CoA; FAD; Propionyl-CoA; ADP; 2-Methyl-3-hydroxybutyryl-CoA; Thiamine pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; 3-Methylcrotonyl-CoA; Pyridoxal; Carbon dioxide; Tiglyl-CoA; Adenosylcobalamin; Water; (S)-b-aminoisobutyric acid; Molybdopterin; (S)-Methylmalonic acid semialdehyde; R-Methylmalonyl-CoA; S-Methylmalonyl-CoA; Hydrogen peroxide; 3-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxypropyl-ThPP; S-(3-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; S-(2-Methylbutanoyl)-dihydrolipoamide; 3-Hydroxyisovaleryl-CoA; Lipoyl-GMP; Hydrogen Ion,http://www.smpdb.ca/view/SMP00523
Isoprenaline Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Isoproterenol",http://www.smpdb.ca/view/SMP00663
Isothipendyl H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Isothipendyl; Histamium",http://www.smpdb.ca/view/SMP59716
Isovaleric acidemia,Alpha-ketoisovaleric acid; (S)-3-Hydroxyisobutyric acid; Biotin; Acetoacetic acid; L-Glutamic acid; L-Isoleucine; Methylmalonic acid; Oxoglutaric acid; Succinic acid; 3-Methyl-2-oxovaleric acid; Adenosine triphosphate; Hydrogen carbonate; L-Leucine; Ketoleucine; L-Valine; NAD; Lipoamide; Dihydrolipoamide; Methacrylyl-CoA; Succinyl-CoA; 2-Methylbutyryl-CoA; (S)-3-Hydroxyisobutyryl-CoA; 3-Methylglutaconyl-CoA; Isovaleryl-CoA; 2-Methylacetoacetyl-CoA; Acetyl-CoA; Isobutyryl-CoA; FAD; Propionyl-CoA; ADP; 2-Methyl-3-hydroxybutyryl-CoA; Thiamine pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; 3-Methylcrotonyl-CoA; Pyridoxal; Carbon dioxide; Tiglyl-CoA; Adenosylcobalamin; Water; (S)-b-aminoisobutyric acid; Molybdopterin; (S)-Methylmalonic acid semialdehyde; R-Methylmalonyl-CoA; S-Methylmalonyl-CoA; Hydrogen peroxide; 3-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxypropyl-ThPP; S-(3-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; S-(2-Methylbutanoyl)-dihydrolipoamide; 3-Hydroxyisovaleryl-CoA; Lipoyl-GMP; Hydrogen Ion,http://www.smpdb.ca/view/SMP00524
Isovaleric Aciduria,Alpha-ketoisovaleric acid; (S)-3-Hydroxyisobutyric acid; Biotin; Acetoacetic acid; L-Glutamic acid; L-Isoleucine; Methylmalonic acid; Oxoglutaric acid; Succinic acid; 3-Methyl-2-oxovaleric acid; Adenosine triphosphate; Hydrogen carbonate; L-Leucine; Ketoleucine; L-Valine; NAD; Lipoamide; Dihydrolipoamide; Methacrylyl-CoA; Succinyl-CoA; 2-Methylbutyryl-CoA; (S)-3-Hydroxyisobutyryl-CoA; 3-Methylglutaconyl-CoA; Isovaleryl-CoA; 2-Methylacetoacetyl-CoA; Acetyl-CoA; Isobutyryl-CoA; FAD; Propionyl-CoA; ADP; 2-Methyl-3-hydroxybutyryl-CoA; Thiamine pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Pyridoxal 5'-phosphate; 3-Methylcrotonyl-CoA; Pyridoxal; Carbon dioxide; Tiglyl-CoA; Adenosylcobalamin; Water; (S)-b-aminoisobutyric acid; Molybdopterin; (S)-Methylmalonic acid semialdehyde; R-Methylmalonyl-CoA; S-Methylmalonyl-CoA; Hydrogen peroxide; 3-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxypropyl-ThPP; S-(3-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; S-(2-Methylbutanoyl)-dihydrolipoamide; 3-Hydroxyisovaleryl-CoA; Lipoyl-GMP; Hydrogen Ion,http://www.smpdb.ca/view/SMP00238
Isradipine Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Isradipine",http://www.smpdb.ca/view/SMP00378
Josamycin Action Pathway,Adenosine monophosphate; Cytidine triphosphate; Cytidine monophosphate; L-Alanine; L-Proline; L-Threonine; L-Asparagine; L-Isoleucine; L-Histidine; Pyrophosphate; Uridine triphosphate; Uridine 5'-monophosphate; Adenosine triphosphate; L-Leucine; L-Methionine; L-Valine; Guanosine triphosphate; Guanosine monophosphate; D-Serine; Josamycin,http://www.smpdb.ca/view/SMP00731
Joubert syndrome,"Cytidine monophosphate; myo-Inositol; Calcium; Adenosine triphosphate; Magnesium; Manganese; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; CDP-DG(16:0/18:1(9Z)); DG(16:0/18:1(9Z)/0:0); PI(16:0/18:1(9Z)); PIP(18:1(9Z)/16:0); PIP2(16:0/18:1(9Z)); PIP3(16:0/18:1(9Z))",http://www.smpdb.ca/view/SMP00582
Kanamycin Action Pathway,Adenosine monophosphate; Cytidine triphosphate; Cytidine monophosphate; L-Alanine; L-Proline; L-Threonine; L-Asparagine; L-Isoleucine; L-Histidine; Pyrophosphate; Uridine triphosphate; Uridine 5'-monophosphate; Adenosine triphosphate; L-Leucine; L-Methionine; L-Valine; Guanosine triphosphate; Guanosine monophosphate; D-Serine; Kanamycin,http://www.smpdb.ca/view/SMP00255
Ketobemidone  Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Ketobemidone,http://www.smpdb.ca/view/SMP00690
Ketoprofen Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Ketoprofen; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00085
Ketorolac Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Ketorolac; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00098
Ketotifen H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Ketotifen; Histamium",http://www.smpdb.ca/view/SMP59868
Krabbe disease,"3-O-Sulfogalactosylceramide (d18:1/24:0); Adenosine 3',5'-diphosphate; D-Glucose; Glucosylceramide; D-Galactose; L-Serine; NADP; NADPH; O-Phosphoethanolamine; Sphingosine; Sphinganine; Sphingosine 1-phosphate; Uridine diphosphate glucose; Uridine 5'-diphosphate; Calcium; Adenosine triphosphate; Magnesium; Phosphoadenosine phosphosulfate; Palmityl-CoA; ADP; SM(d18:1/18:0); Sphinganine 1-phosphate; Phosphate; Sulfate; 3-Dehydrosphinganine; Pyridoxal 5'-phosphate; Palmitaldehyde; Phosphorylcholine; Carbon dioxide; Water; Galabiosylceramide (d18:1/22:0); Lactosylceramide (d18:1/12:0); Ceramide (d18:1/18:0); Dihydroceramide; Galactosylglycerol; PC(15:0/18:2(9Z,12Z)); CerP(d18:1/12:0); Galactosylceramide (d18:1/16:0); Donepezil metabolite M4; Zinc",http://www.smpdb.ca/view/SMP00526
L-arginine:glycine amidinotransferase deficiency,Tetrahydrobiopterin; Adenosine monophosphate; Ammonia; Argininosuccinic acid; Creatine; Glycine; Guanidoacetic acid; Fumaric acid; L-Glutamic acid; L-Proline; L-Aspartic acid; Oxoglutaric acid; Ornithine; NADP; NADPH; Oxalacetic acid; Pyrophosphate; Succinic acid; Urea; L-Arginine; Adenosine triphosphate; NAD; Citrulline; S-Adenosylhomocysteine; Carbamoyl phosphate; S-Adenosylmethionine; FAD; 1-Pyrroline-5-carboxylic acid; Manganese; ADP; Pyrroline hydroxycarboxylic acid; Oxygen; Phosphate; NADH; Pyridoxal 5'-phosphate; Phosphocreatine; Flavin Mononucleotide; Carbon dioxide; 4-Hydroxy-2-oxoglutaric acid; L-Glutamic gamma-semialdehyde; Water; Phosphoric acid; 1-Pyrroline-4-hydroxy-2-carboxylate; 4-Hydroxy-L-glutamic acid; Hydrogen peroxide; Heme; Nitric oxide; D-Proline; N-(o)-Hydroxyarginine; 4-Hydroxy-L-proline; L-4-Hydroxyglutamate semialdehyde; 1-Pyrroline-2-carboxylic acid; Hydrogen Ion,http://www.smpdb.ca/view/SMP00507
Labetalol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Labetalol",http://www.smpdb.ca/view/SMP00368
Lactic Acidemia,Biotin; Adenosine monophosphate; Glyoxylic acid; Glycine; L-Glutamic acid; L-Alanine; Oxoglutaric acid; Oxalacetic acid; Pyruvic acid; Pyrophosphate; Adenosine triphosphate; Hydrogen carbonate; Zinc (II) ion; Manganese; ADP; Phosphate; Pyridoxal 5'-phosphate,http://www.smpdb.ca/view/SMP00313
Lactose Intolerance,D-Glucose; D-Galactose; Alpha-Lactose; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water,http://www.smpdb.ca/view/SMP00458
Lafutidine H2-Antihistamine Action,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Phosphate; Carbon dioxide; Water; Hydrogen Ion; Histamium; Lafutidine,http://www.smpdb.ca/view/SMP51038
Lamivudine  Action Pathway,Adenosine monophosphate; Pyrophosphate; Adenosine triphosphate; Lamivudine; Lamivudine-triphosphate,http://www.smpdb.ca/view/SMP00742
Lamivudine Metabolism Pathway,"O-Phosphoethanolamine; Pyrophosphate; Uridine triphosphate; Uridine 5'-diphosphate; Adenosine triphosphate; Magnesium; ADP; Oxygen; Phosphate; Phosphorylcholine; Water; Hydrogen peroxide; Lamivudine; (±)-Glycerol 1,2-diacetate; Lamivudine sulfoxide; Lamivudine-triphosphate; Lamivudine-monophosphate",http://www.smpdb.ca/view/SMP00649
Lansoprazole Action Pathway,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Phosphate; Carbon dioxide; Water; Lansoprazole; Hydroxylansoprazole; Hydrogen Ion; Histamium,http://www.smpdb.ca/view/SMP00227
Lansoprazole Metabolism Pathway,Lansoprazole; Hydrogen Ion,http://www.smpdb.ca/view/SMP00614
Latrepirdine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Latrepirdine",http://www.smpdb.ca/view/SMP62623
Leigh Syndrome,Biotin; Acetic acid; Adenosine monophosphate; Glutathione; L-Malic acid; L-Lactic acid; NADP; NADPH; Oxalacetic acid; Pyruvic acid; Pyrophosphate; Phosphoenolpyruvic acid; Adenosine triphosphate; Magnesium; Potassium; Hydrogen carbonate; NAD; Lipoamide; Dihydrolipoamide; Acetaldehyde; S-Lactoylglutathione; Pyruvaldehyde; Malonyl-CoA; Guanosine diphosphate; Acetyl-CoA; FAD; Guanosine triphosphate; Zinc (II) ion; D-Lactic acid; Manganese; ADP; Hydrogen; Thiamine pyrophosphate; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Acetylphosphate; Propylene glycol; Carbon dioxide; Water; Phosphoric acid; D-Lactaldehyde; S-Acetyldihydrolipoamide-E; Acetyl adenylate; Hydrogen Ion,http://www.smpdb.ca/view/SMP00196
Lepirudin Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phytonadione",http://www.smpdb.ca/view/SMP00278
