OMIM,label
613003,"ATTENTION DEFICIT-HYPERACTIVITY DISORDER, SUSCEPTIBILITY TO, 7"
613004,"HUNTINGTIN"
300148,"MENTAL RETARDATION, EPILEPTIC SEIZURES, HYPOGONADISM AND HYPOGENITALISM, MICROCEPHALY, AND OBESITY"
225450,"SPECTRIN, ALPHA, ERYTHROCYTIC 1"
613005,"SANTOS SYNDROME"
300149,"CBP/p300-INTERACTING TRANSACTIVATOR WITH GLU/ASP-RICH C-TERMINAL DOMAIN, 1"
613006,"DIABETES MELLITUS, INSULIN-DEPENDENT, 24"
613007,"BILIARY CIRRHOSIS, PRIMARY, 2"
226810,"EPILEPSY WITH BILATERAL OCCIPITAL CALCIFICATIONS"
300142,"p21 PROTEIN-ACTIVATED KINASE 3"
610504,"PRETERM PREMATURE RUPTURE OF THE MEMBRANES"
300143,"MENTAL RETARDATION, X-LINKED 21"
132100,"PHOTOPAROXYSMAL RESPONSE 1"
611118,"NUCLEAR PRELAMIN A RECOGNITION FACTOR-LIKE"
611119,"KELCH-LIKE 7"
611110,"MAP3K7 C-TERMINAL-LIKE PROTEIN"
611111,"DEVELOPMENTAL PLURIPOTENCY-ASSOCIATED GENE 5"
611112,"DAPPER, ANTAGONIST OF BETA-CATENIN, 3"
611113,"CEMENTUM PROTEIN 1"
611114,"MICRO RNA 150"
611115,"VON WILLEBRAND FACTOR C AND EGF DOMAIN-CONTAINING PROTEIN"
611116,"MICRO RNA 208A"
611117,"PROTEIN PHOSPHATASE METHYLESTERASE 1"
611104,"FYVE, RhoGEF, AND PH DOMAIN-CONTAINING PROTEIN 4"
610506,"PAF1 RNA POLYMERASE II-ASSOCIATED FACTOR, S. CEREVISIAE, HOMOLOG OF"
109600,"BEETURIA"
173325,"JUNCTION PLAKOGLOBIN"
173320,"RIBONUCLEASE/ANGIOGENIN INHIBITOR 1"
173321,"SERPIN PEPTIDASE INHIBITOR, CLADE B (OVALBUMIN), MEMBER 6"
608554,"NEURONAL PAS DOMAIN PROTEIN 4"
103950,"ALPHA-2-MACROGLOBULIN"
131450,"EPIBLEPHARON OF LOWER LID"
100600,"ACANTHOSIS NIGRICANS"
184429,"SRY-BOX 2"
184420,"FARNESYLDIPHOSPHATE FARNESYLTRANSFERASE 1"
590045,"TRANSFER RNA, MITOCHONDRIAL, ISOLEUCINE"
590040,"TRANSFER RNA, MITOCHONDRIAL, HISTIDINE"
224410,"DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMAKER TYPE"
180510,"RIBOSOMAL PHOSPHOPROTEIN, LARGE, P0"
611806,"ARSENIC (+3 OXIDATION STATE) METHYLTRANSFERASE"
611807,"TIP41-LIKE PROTEIN"
611804,"ELLIPTOCYTOSIS 1"
611805,"ELONGATION OF VERY LONG CHAIN FATTY ACIDS-LIKE 5"
611802,"MIGRATION AND INVASION ENHANCER 1"
611803,"INTEGRIN-ALPHA FG-GAP REPEAT-CONTAINING PROTEIN 1"
611800,"THYROID ADENOMA-ASSOCIATED GENE"
611801,"POST-GPI ATTACHMENT TO PROTEINS 3"
613775,"CALMODULIN-REGULATED SPECTRIN-ASSOCIATED PROTEIN 2"
305000,"DYSKERATOSIS CONGENITA, X-LINKED"
611808,"TREMOR, HEREDITARY ESSENTIAL, AND IDIOPATHIC NORMAL PRESSURE HYDROCEPHALUS"
611809,"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE"
249670,"MESOAXIAL HEXADACTYLY AND CARDIAC MALFORMATION"
172490,"PHOSPHORYLASE KINASE, BETA SUBUNIT"
603238,"RNA, U17D SMALL NUCLEOLAR"
603239,"SMALL NUCLEOLAR RNA, H/ACA BOX, 73B"
614376,"SHORT-RIB THORACIC DYSPLASIA 5 WITH OR WITHOUT POLYDACTYLY"
603232,"OLFACTORY RECEPTOR, FAMILY 1, SUBFAMILY F, MEMBER 1"
603233,"PSEUDOHYPOPARATHYROIDISM, TYPE IB"
603230,"RNA, U31 SMALL NUCLEOLAR"
603231,"ZINC FINGER PROTEIN 200"
603236,"MEVALONATE PYROPHOSPHATE DECARBOXYLASE"
603237,"ERYTHROCYTE MEMBRANE PROTEIN 4.1-LIKE 2"
603234,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 6"
603235,"SELENOPROTEIN W"
400033,"TRANSDUCIN-BETA-LIKE 1, Y-LINKED"
400032,"CHROMOSOME Y OPEN READING FRAME 15B"
400031,"CHROMOSOME Y OPEN READING FRAME 15A"
400030,"RIBOSOMAL PROTEIN S4, Y-LINKED, 2"
400037,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 4"
400036,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 3"
400035,"GOLGI AUTOANTIGEN, GOLGIN SUBFAMILY A, 2-LIKE, Y-LINKED"
400034,"CHONDROITIN SULFATE PROTEOGLYCAN 4 PSEUDOGENE 1, Y-LINKED"
400039,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 6"
400038,"TESTIS-SPECIFIC TRANSCRIPT, Y-LINKED, 5"
601789,"PEROXISOME BIOGENESIS FACTOR 13"
613530,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1H"
613531,"PHOSPHATASE AND TENSIN HOMOLOG PSEUDOGENE"
613532,"RAS-ASSOCIATED PROTEIN RAB8B"
613533,"CHROMOSOME 17q21.31 DUPLICATION SYNDROME"
613534,"FANCD2/FANCI-ASSOCIATED NUCLEASE 1"
248100,"MACROSOMIA ADIPOSA CONGENITA"
613536,"LEUCINE-, GLUTAMATE-, AND LYSINE-RICH PROTEIN 1"
613537,"NLR FAMILY, CASPASE RECRUITMENT DOMAIN-CONTAINING 5"
613538,"FEM1, C. ELEGANS, HOMOLOG OF, A"
613539,"FEM1, C. ELEGANS, HOMOLOG OF, B"
140400,"PROGRESSIVE FAMILIAL HEART BLOCK, TYPE II"
601882,"DNA FRAGMENTATION FACTOR, 45-KD, ALPHA SUBUNIT"
256370,"NEPHROTIC SYNDROME, TYPE 4"
246650,"LIPASE DEFICIENCY, COMBINED"
211965,"CAMPTODACTYLY-ICHTHYOSIS SYNDROME"
211960,"CAMPTODACTYLY WITH MUSCULAR HYPOPLASIA, SKELETAL DYSPLASIA, AND ABNORMAL PALMAR CREASES"
163730,"NITRIC OXIDE SYNTHASE 2A"
163731,"NITRIC OXIDE SYNTHASE 1"
608279,"CRANIOSYNOSTOSIS WITH OCULAR ABNORMALITIES AND HALLUCAL DEFECTS"
608278,"GROWTH FAILURE, MICROCEPHALY, MENTAL RETARDATION, CATARACTS, LARGE JOINT CONTRACTURES, OSTEOPOROSIS, CORTICAL DYSPLASIA, AND CEREBELLAR ATROPHY"
608273,"INTERLEUKIN 27"
608272,"NEURAMINIDASE 1"
608271,"MICROTUBULE-ACTIN CROSS-LINKING FACTOR 1"
608270,"THREONINE ASPARTASE 1"
608277,"CARBOHYDRATE SULFOTRANSFERASE 15"
608276,"SOLUTE CARRIER FAMILY 22 (ORGANIC CATION TRANSPORTER), MEMBER 16"
608275,"SOLUTE CARRIER FAMILY 22 (ORGANIC CATION TRANSPORTER), MEMBER 15"
608274,"PROTEIN ARGININE N-METHYLTRANSFERASE 6"
178330,"PTOSIS, STRABISMUS, AND ECTOPIC PUPILS"
123710,"CRYSTALLIN, GAMMA-A"
312095,"A-KINASE ANCHOR PROTEIN 17A"
312090,"SOLUTE CARRIER FAMILY 10 (SODIUM/BILE ACID COTRANSPORTER FAMILY) MEMBER 3"
580000,"DEAFNESS, AMINOGLYCOSIDE-INDUCED"
604904,"TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR 1B"
164170,"NYSTAGMUS, VOLUNTARY"
164177,"POU DOMAIN, CLASS 5, TRANSCRIPTION FACTOR 1"
164176,"POU DOMAIN, CLASS 2, TRANSCRIPTION FACTOR 2"
164175,"POU DOMAIN, CLASS 2, TRANSCRIPTION FACTOR 1"
114251,"CALSEQUESTRIN 2"
114250,"CALSEQUESTRIN 1"
300645,"IMMUNODEFICIENCY 34"
300644,"GALACTOSIDASE, ALPHA"
300647,"APC MEMBRANE RECRUITMENT PROTEIN 1"
300646,"ZINC FINGER DHHC DOMAIN-CONTAINING PROTEIN 9"
300641,"SOLUTE CARRIER FAMILY 25, MEMBER 43"
300640,"INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT ISOLATED, 2"
300643,"ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED"
300642,"SUSHI REPEAT-CONTAINING PROTEIN, X-LINKED, 2"
190930,"TROPOMODULIN"
300649,"SOLUTE CARRIER FAMILY 38 (AMINO ACID TRANSPORTER), MEMBER 5"
300648,"CANCER/TESTIS ANTIGEN FAMILY 45, MEMBER A1"
110000,"BLEPHAROCHALASIS, SUPERIOR"
114780,"CARBONIC ANHYDRASE VI"
311010,"V-RAF MURINE SARCOMA 3611 VIRAL ONCOGENE HOMOLOG 1"
241850,"HYPOTHYROIDISM, THYROIDAL OR ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE"
120433,"COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION"
120430,"COLOBOMA OF OPTIC NERVE"
120436,"MutL, E. COLI, HOMOLOG OF, 1"
120435,"LYNCH SYNDROME I"
600788,"ELONGIN C"
608918,"ATP SYNTHASE, MITOCHONDRIAL F1 COMPLEX, ASSEMBLY FACTOR 2"
608919,"TWEETY, DROSOPHILA, HOMOLOG OF, 3"
608916,"POTE ANKYRIN DOMAIN FAMILY, MEMBER G"
608917,"ATP SYNTHASE, MITOCHONDRIAL F1 COMPLEX, ASSEMBLY FACTOR 1"
608914,"POTE ANKYRIN DOMAIN FAMILY, MEMBER E"
608915,"POTE ANKYRIN DOMAIN FAMILY, MEMBER A"
608912,"POTE ANKYRIN DOMAIN FAMILY, MEMBER B"
608913,"POTE ANKYRIN DOMAIN FAMILY, MEMBER H"
608910,"CUTANEOUS T-CELL LYMPHOMA-ASSOCIATED ANTIGEN 4"
608911,"CHOANAL ATRESIA, POSTERIOR"
206700,"GILLESPIE SYNDROME"
194100,"TOOTH AGENESIS, SELECTIVE, 1"
149200,"KNUCKLE PADS, LEUKONYCHIA, AND SENSORINEURAL DEAFNESS"
617160,"PROMININ 2"
150600,"LEGG-CALVE-PERTHES DISEASE"
168885,"PAROXYSMAL TONIC UPGAZE, BENIGN CHILDHOOD, WITH ATAXIA"
610959,"MICRO RNA 376A1"
153550,"CHROMOSOME 5q DELETION SYNDROME"
152600,"LUNULAE OF FINGERNAILS"
604359,"STROMAL ANTIGEN 2"
601188,"SUPPRESSION OF TUMORIGENICITY 12"
601189,"POLYMERASE II, RNA, SUBUNIT L"
601182,"ORIGIN RECOGNITION COMPLEX, SUBUNIT 2, S. CEREVISIAE, HOMOLOG OF"
271225,"SPINAL MUSCULAR ATROPHY, TYPE I, WITH CONGENITAL BONE FRACTURES"
601180,"RAN-BINDING PROTEIN 1"
601181,"RAN-BINDING PROTEIN 2"
271220,"SPINAL MUSCULAR ATROPHY, SCAPULOPERONEAL"
601187,"GURRIERI SYNDROME"
601184,"DNAJ/HSP40 HOMOLOG, SUBFAMILY C, MEMBER 3"
601185,"STANNIOCALCIN 1"
600857,"SUCCINATE DEHYDROGENASE COMPLEX, SUBUNIT A, FLAVOPROTEIN"
600856,"CYCLIN-DEPENDENT KINASE INHIBITOR 1C"
600855,"DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 1A"
600854,"POTASSIUM CHANNEL, INWARDLY RECTIFYING, SUBFAMILY J, MEMBER 6"
600853,"N-DEACETYLASE/N-SULFOTRANSFERASE 1"
600852,"RETINITIS PIGMENTOSA 17"
600851,"MITOCHONDRIAL IMPORT-STIMULATING FACTOR"
600850,"SCHIZOPHRENIA 4"
600859,"AMINOACYL tRNA SYNTHETASE COMPLEX-INTERACTING MULTIFUNCTIONAL PROTEIN 2"
600858,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 6"
300745,"X ANTIGEN FAMILY, MEMBER 1E"
162100,"AMYOTROPHY, HEREDITARY NEURALGIC"
609663,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 9"
609662,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 10"
609661,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 7"
609660,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 13"
609667,"T-CELL ACTIVATION GTPase-ACTIVATING PROTEIN"
609666,"TWO-PORE SEGMENT CHANNEL 1"
609665,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 14"
609664,"NLR FAMILY, PYRIN DOMAIN-CONTAINING 11"
609669,"WD REPEAT-CONTAINING PROTEIN 36"
609668,"PTC7 PROTEIN PHOSPHATASE, S. CEREVISIAE, HOMOLOG OF"
600581,"INHIBITOR OF DNA BINDING 4"
600580,"CHLORIDE CHANNEL 3"
600583,"TEC PROTEIN TYROSINE KINASE"
600582,"ASPARTATE BETA-HYDROXYLASE"
600585,"TRANSGLUTAMINASE 4"
600584,"NK2 HOMEOBOX 5"
600587,"POM121/ZP3 FUSION PROTEIN"
600586,"EPITHELIAL CELL TRANSFORMING SEQUENCE 2 ONCOGENE"
600589,"SERUM RESPONSE FACTOR"
600588,"THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE"
190151,"V-ERB-B2 AVIAN ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG 3"
200440,"ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME"
604869,"TASTE RECEPTOR, TYPE 2, MEMBER 4"
142770,"HLA MODIFIER"
612919,"LanC-LIKE 2"
612918,"CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMAL NEVI"
612915,"MEDIATOR COMPLEX SUBUNIT 20"
612914,"MEDIATOR COMPLEX SUBUNIT 29"
612917,"GIACHETI SYNDROME"
612916,"ZECHI-CEIDE SYNDROME"
612911,"NADH DEHYDROGENASE (UBIQUINONE) COMPLEX I, ASSEMBLY FACTOR 3"
272750,"GM2-GANGLIOSIDOSIS, AB VARIANT"
612913,"OROFACIODIGITAL SYNDROME XI"
612912,"TRANSMEMBRANE PROTEIN 97"
303350,"MASA SYNDROME"
601454,"PSORIASIS 3, SUSCEPTIBILITY TO"
601455,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D"
601456,"MULTIMERIN 1"
601457,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE"
601450,"DISLOCATION OF HIP, CONGENITAL, WITH HYPEREXTENSIBILITY OF FINGERS AND FACIAL DYSMORPHISM"
601451,"EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 1"
601452,"OCULOAURICULOFRONTONASAL SYNDROME"
601453,"TRICHODENTAL DYSPLASIA"
601458,"INFLAMMATORY BOWEL DISEASE 2"
601459,"PREPRONOCICEPTIN"
600325,"AMINOPTERIN SYNDROME SINE AMINOPTERIN"
600324,"CHEMOKINE, CXC MOTIF, LIGAND 5"
600327,"SYNAPTOTAGMIN 3"
600326,"DEAD/H BOX 6"
607117,"MCPH1 GENE"
607116,"ALZHEIMER DISEASE 8"
157920,"MOESIN"
607114,"A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 33"
607119,"DOUBLE RING FINGER PROTEIN"
607118,"MITOCHONDRIAL RIBOSOMAL PROTEIN L3"
600329,"OSTEOPETROSIS AND INFANTILE NEUROAXONAL DYSTROPHY"
147690,"INTERFERON-INDUCED PROTEIN WITH TETRATRICOPEPTIDE REPEATS 1"
608130,"NUAK FAMILY, SNF1-LIKE KINASE, 1"
608131,"NUAK FAMILY, SNF1-LIKE KINASE, 2"
608132,"TETRATRICOPEPTIDE REPEAT DOMAIN-CONTAINING PROTEIN 8"
608133,"RETINITIS PIGMENTOSA 7"
608134,"PARALEMMIN"
608135,"ASPORIN"
608136,"RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 10"
608137,"NMDA RECEPTOR SYNAPTONUCLEAR SIGNALING AND NEURONAL MIGRATION FACTOR"
608138,"PROGRAMMED CELL DEATH 7"
608139,"CENTROMERE PROTEIN V"
614458,"THIAMINE METABOLISM DYSFUNCTION SYNDROME 5 (EPISODIC ENCEPHALOPATHY TYPE)"
614459,"TRANSMEMBRANE PROTEIN 138"
301850,"TUBULIN, BETA"
194480,"ZINC FINGER PROTEIN 3, MOUSE, HOMOLOG OF"
606869,"HEXOSAMINIDASE A"
606864,"PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA"
606865,"FUCOSYLTRANSFERASE 9"
606866,"MITOCHONDRIAL RIBOSOMAL PROTEIN L49"
606867,"GOLGI REASSEMBLY STACKING PROTEIN 1"
606860,"COMPLEMENT COMPONENT 1 INHIBITOR"
606861,"PROSTATE- AND TESTIS-EXPRESSED GENE"
606862,"OSTEOCLAST-ASSOCIATED RECEPTOR"
606863,"THYMOCYTE SELECTION-ASSOCIATED HIGH MOBILITY GROUP BOX"
109190,"SOLUTE CARRIER FAMILY 1 (NEUTRAL AMINO ACID TRANSPORTER), MEMBER 5"
109195,"BACTERICIDAL PERMEABILITY-INCREASING PROTEIN"
224250,"DYSMYELINATION WITH JAUNDICE"
606331,"PROTOCADHERIN-BETA 5"
180750,"ROBINOW-SORAUF SYNDROME"
606240,"THYROID CANCER, NONMEDULLARY, 3"
606241,"DICER, DROSOPHILA, HOMOLOG OF, 1"
606242,"MENTAL RETARDATION, MICROCEPHALY, GROWTH RETARDATION, JOINT CONTRACTURES, AND FACIAL DYSMORPHISM"
606243,"ALVEOLAR SOFT PART SARCOMA"
273150,"TESTES, RUDIMENTARY"
606245,"SUPPRESSOR OF ZESTE 12, DROSOPHILA, HOMOLOG OF"
606246,"JUXTAPOSED WITH ANOTHER ZINC FINGER GENE 1"
606247,"STAM-BINDING PROTEIN"
606248,"QUINOLINATE PHOSPHORIBOSYLTRANSFERASE"
606249,"PROTEIN KINASE, LYSINE-DEFICIENT 2"
209700,"ATROPHODERMA VERMICULATA"
180280,"RETINOL-BINDING PROTEIN 2"
616348,"ZINC FINGER PROTEIN 695"
616349,"SORBIN AND SH3 DOMAINS-CONTAINING PROTEIN 2"
616344,"TETRATRICOPEPTIDE REPEAT DOMAIN-CONTAINING PROTEIN 23-LIKE"
616345,"IMMUNODEFICIENCY 39"
616346,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 31"
616347,"PR DOMAIN-CONTAINING PROTEIN 11"
616340,"DEAFNESS, AUTOSOMAL DOMINANT 67"
616341,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 30"
616342,"LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA"
616343,"TUMOR PROTEIN p53 PATHWAY COREPRESSOR 1, NONCODING"
182590,"TREFOIL FACTOR 2"
610429,"CYTOCHROME c OXIDASE ASSEMBLY FACTOR COX19"
610428,"CYTOCHROME c OXIDASE ASSEMBLY FACTOR COX18"
617439,"CRANIOSYNOSTOSIS 7"
617438,"CHROMOBOX HOMOLOG 6"
609125,"MOTILE SPERM DOMAIN-CONTAINING PROTEIN 3"
617435,"LOPES-MACIEL-RODAN SYNDROME"
610422,"ALOPECIA-MENTAL RETARDATION SYNDROME 2"
610421,"KH DOMAIN-CONTAINING, RNA-BINDING, SIGNAL TRANSDUCTION-ASSOCIATED PROTEIN 3"
617436,"GON7, S. CEREVISIAE, HOMOLOG OF"
617431,"UBIQUITIN-SPECIFIC PEPTIDASE 53"
617430,"ADHESION G PROTEIN-COUPLED RECEPTOR F1"
610425,"CATARACT 23, MULTIPLE TYPES"
617432,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 60"
184500,"STEATOCYSTOMA MULTIPLEX"
603742,"SLIT, DROSOPHILA, HOMOLOG OF, 1"
603743,"APOLIPOPROTEIN L-I"
603740,"ACRODYSPLASIA WITH OSSIFICATION ABNORMALITIES, SHORT STATURE, AND FIBULAR HYPOPLASIA"
603741,"ARACHIDONATE 12-LIPOXYGENASE, R TYPE"
603746,"SLIT, DROSOPHILA, HOMOLOG OF, 2"
603747,"TUMOR PROTEIN D52-LIKE 2"
603744,"PAPILLARY THYROID MICROCARCINOMA"
603745,"SLIT, DROSOPHILA, HOMOLOG OF, 3"
615495,"GDP-MANNOSE PYROPHOSPHORYLASE A"
615494,"CHROMOSOME 21 OPEN READING FRAME 59"
603748,"APELIN"
603749,"TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY M, MEMBER 2"
615491,"SPASTIC PARAPLEGIA 79, AUTOSOMAL RECESSIVE"
615490,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2R"
615493,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 37"
615492,"LONG INTERGENIC NONCODING RNA COX2"
266900,"SENIOR-LOKEN SYNDROME 1"
165340,"SKI-LIKE"
601735,"SWI/SNF-RELATED, MATRIX-ASSOCIATED, ACTIN-DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY D, MEMBER 1"
609129,"AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT, 1"
605748,"BETA-CAROTENE OXYGENASE 1"
605749,"CATARACT 26, MULTIPLE TYPES"
605744,"EXOSTOSIN-LIKE GLYCOSYLTRANSFERASE 3"
605745,"CYTOCHROME b REDUCTASE 1"
605746,"ANISOMASTIA"
138720,"GLYCOPROTEIN Ib, PLATELET, BETA POLYPEPTIDE"
605740,"SCLEROSTIN"
605741,"G PROTEIN-COUPLED RECEPTOR 183"
605742,"TUBULIN, ALPHA-8"
605743,"HEDGEHOG ACYLTRANSFERASE"
220200,"DANDY-WALKER SYNDROME"
122600,"SPONDYLOCOSTAL DYSOSTOSIS 5"
611778,"GLYCEROL-3-PHOSPHATE DEHYDROGENASE 1-LIKE"
611779,"FIBROUS SHEATH CABYR-BINDING PROTEIN"
611770,"NK2, DROSOPHILA, HOMOLOG OF, 6"
611771,"LIPOPROTEIN GLOMERULOPATHY"
611772,"NUF2, S. CEREVISIAE, HOMOLOG OF"
611773,"ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS"
611774,"MICRO RNA 128-1"
611775,"KAWASAKI DISEASE"
611776,"NADH DEHYDROGENASE (UBIQUINONE) COMPLEX I, ASSEMBLY FACTOR 4"
611777,"BRUGADA SYNDROME 2"
146640,"INTER-ALPHA-TRYPSIN INHIBITOR, HEAVY CHAIN 2"
135750,"LAURIN-SANDROW SYNDROME"
612148,"MICRO RNA LET7I"
612149,"RNA-BINDING PROTEIN FOX1, C. ELEGANS, HOMOLOG OF, 2"
205700,"ANEMIA, AUTOIMMUNE HEMOLYTIC"
612142,"MICRO RNA LET7A2"
612143,"MICRO RNA LET7A3"
612140,"SEPTIN 14"
612141,"ERYTHROCYTE MEMBRANE PROTEIN BAND 4.1-LIKE 4A"
612146,"MICRO RNA LET7F1"
612147,"MYOSIN LIGHT CHAIN KINASE 3"
612145,"MICRO RNA LET7D"
611482,"UFM1-SPECIFIC PEPTIDASE 2"
611483,"YIP1 DOMAIN FAMILY, MEMBER 5"
611480,"PIH1 DOMAIN-CONTAINING PROTEIN 1"
611481,"UFM1-SPECIFIC PEPTIDASE 1"
611486,"SYNAPTONEMAL COMPLEX CENTRAL ELEMENT PROTEIN 1"
611487,"SYNAPTONEMAL COMPLEX CENTRAL ELEMENT PROTEIN 2"
611484,"YIP1-INTERACTING FACTOR, S. CEREVISIAE, HOMOLOG OF, A"
611485,"CYTOCHROME P450, FAMILY 4, SUBFAMILY F, POLYPEPTIDE 12"
611488,"MACULAR DEGENERATION, AGE-RELATED, 10"
611489,"CORTICOSTEROID-BINDING GLOBULIN DEFICIENCY"
134400,"FACTOR V EXCESS WITH SPONTANEOUS THROMBOSIS"
138180,"GLUTAMATE OXALOACETATE TRANSAMINASE, SOLUBLE"
613431,"HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 4"
613430,"HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 3"
218300,"CRANIODIAPHYSEAL DYSPLASIA"
613432,"HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 5"
613435,"AMYOTROPHIC LATERAL SCLEROSIS 12"
613434,"HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 8"
613437,"FCH DOMAIN ONLY PROTEIN 1"
613436,"AUTISM, SUSCEPTIBILITY TO, 17"
613439,"CONSORTIN"
613438,"FCH DOMAIN ONLY PROTEIN 2"
604839,"FK506-BINDING PROTEIN 6"
604838,"G PROTEIN-COUPLED RECEPTOR 45"
604835,"DUAL-SPECIFICITY PHOSPHATASE 12"
604834,"TANK-BINDING KINASE 1"
604837,"PROSTAGLANDIN D2 RECEPTOR 2"
133750,"EXTRASYSTOLES, MULTIFORM VENTRICULAR, WITH SHORT STATURE, HYPERPIGMENTATION AND MICROCEPHALY"
604831,"EVC GENE"
604830,"MANDIBULOFACIAL DYSOSTOSIS SYNDROME, BAURU TYPE"
604833,"CHEMOKINE, CC MOTIF, LIGAND 27"
604832,"CARBONIC ANHYDRASE XIV"
611744,"OTU DOMAIN-CONTAINING PROTEIN 4"
123550,"CRYOGLOBULINEMIA, FAMILIAL MIXED"
123555,"DEFENSIN, ALPHA, 1"
123557,"CRYPTOTIA, FAMILIAL"
610168,"LOEYS-DIETZ SYNDROME 2"
610169,"INO80 COMPLEX SUBUNIT"
610166,"IQ MOTIF- AND SEC7 DOMAIN-CONTAINING PROTEIN 1"
610167,"PHOSPHOHISTIDINE PHOSPHATASE 1"
610164,"MICRO RNA 134"
610165,"GLYCOSYLTRANSFERASE-LIKE DOMAIN-CONTAINING PROTEIN 1"
610162,"COILED-COIL DOMAIN-CONTAINING PROTEIN 28B"
610163,"IMMUNODEFICIENCY 25"
610160,"ZINC FINGER PROTEIN 367"
610161,"TRANSCRIPTION FACTOR AP2-DELTA"
132800,"MULTIPLE SELF-HEALING SQUAMOUS EPITHELIOMA, SUSCEPTIBILITY TO"
310700,"NYSTAGMUS 1, CONGENITAL, X-LINKED"
108450,"ASYMMETRIC SHORT STATURE SYNDROME"
607874,"ZINC FINGER PROTEIN 444"
607875,"INOSITOL POLYPHOSPHATE-5-PHOSPHATASE K"
607876,"EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2"
607877,"OTOSPIRALIN"
607870,"UNC5, C. ELEGANS, HOMOLOG OF, B"
607871,"F-BOX ONLY PROTEIN 11"
607872,"CHROMOSOME 1p36 DELETION SYNDROME"
607873,"SCAVENGER RECEPTOR CLASS F, MEMBER 1"
212790,"PREMATURE CENTROMERE DIVISION"
607878,"NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE"
607879,"EXOCYST COMPLEX COMPONENT 1"
239840,"HYPERTRICHOSIS, CONGENITAL ANTERIOR CERVICAL, WITH PERIPHERAL SENSORY AND MOTOR NEUROPATHY"
601807,"MATRIX METALLOPROTEINASE 19"
183020,"SPINAL MUSCULAR ATROPHY, SEGMENTAL"
260500,"PAPILLOMA OF CHOROID PLEXUS"
300278,"NYCTALOPIN"
300279,"LUBS X-LINKED MENTAL RETARDATION SYNDROME"
311150,"MOHR-TRANEBJAERG SYNDROME"
300274,"ANDROGEN INSENSITIVITY SYNDROME"
300275,"NAD(P)H STEROID DEHYDROGENASE-LIKE PROTEIN"
300276,"ECTODYSPLASIN A2 RECEPTOR"
300277,"INTERLEUKIN 1 RECEPTOR ACCESSORY PROTEIN-LIKE 2"
300270,"ADRENOMYODYSTROPHY"
300271,"MENTAL RETARDATION, X-LINKED 72"
300272,"HISTONE DEACETYLASE 6"
300273,"GOITER, MULTINODULAR 2"
